=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.01.22 17:28:28 =~=~=~=~=~=~=~=~=~=~=~=
, 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.08V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.17V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.00V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.08V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.00V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 12.66V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 12.91V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.59V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 16.99V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 16.05V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 15.36V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 15.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.59V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.48V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.74V, Current: -0.20A, RPM: 0
